DATE,TRFVOLUSM227NFWA
1989-04-01,174320.0
1989-05-01,184823.0
1989-06-01,184094.0
1989-07-01,190985.0
1989-08-01,194172.0
1989-09-01,177326.0
1989-10-01,182583.0
1989-11-01,169735.0
1989-12-01,167530.0
1990-01-01,163600.0
1990-02-01,153559.0
1990-03-01,178771.0
1990-04-01,179033.0
1990-05-01,189247.0
1990-06-01,189529.0
1990-07-01,195470.0
1990-08-01,197057.0
1990-09-01,178415.0
1990-10-01,182634.0
1990-11-01,171565.0
1990-12-01,168621.0
1991-01-01,157889.0
1991-02-01,153351.0
1991-03-01,179076.0
1991-04-01,179538.0
1991-05-01,191929.0
1991-06-01,193467.0
1991-07-01,198387.0
1991-08-01,204063.0
1991-09-01,183594.0
1991-10-01,188445.0
1991-11-01,169693.0
1991-12-01,172782.0
1992-01-01,167652.0
1992-02-01,160204.0
1992-03-01,183778.0
1992-04-01,186069.0
1992-05-01,196725.0
1992-06-01,197232.0
1992-07-01,206616.0
1992-08-01,204753.0
1992-09-01,190908.0
1992-10-01,194836.0
1992-11-01,177380.0
1992-12-01,180999.0
1993-01-01,171680.0
1993-02-01,162844.0
1993-03-01,187869.0
1993-04-01,188737.0
1993-05-01,205981.0
1993-06-01,199414.0
1993-07-01,209838.0
1993-08-01,209634.0
1993-09-01,193765.0
1993-10-01,197793.0
1993-11-01,182322.0
1993-12-01,186828.0
1994-01-01,169314.0
1994-02-01,166444.0
1994-03-01,196190.0
1994-04-01,195407.0
1994-05-01,206594.0
1994-06-01,207280.0
1994-07-01,214778.0
1994-08-01,215045.0
1994-09-01,200511.0
1994-10-01,202864.0
1994-11-01,190074.0
1994-12-01,193087.0
1995-01-01,193838.0
1995-02-01,171053.0
1995-03-01,201227.0
1995-04-01,198213.0
1995-05-01,212586.0
1995-06-01,211370.0
1995-07-01,217188.0
1995-08-01,219216.0
1995-09-01,203866.0
1995-10-01,206745.0
1995-11-01,194131.0
1995-12-01,193341.0
1996-01-01,183465.0
1996-02-01,176562.0
1996-03-01,204172.0
1996-04-01,205253.0
1996-05-01,218676.0
1996-06-01,215551.0
1996-07-01,225109.0
1996-08-01,229050.0
1996-09-01,207604.0
1996-10-01,215654.0
1996-11-01,199643.0
1996-12-01,201462.0
1997-01-01,190126.0
1997-02-01,183950.0
1997-03-01,211952.0
1997-04-01,211290.0
1997-05-01,226082.0
1997-06-01,222254.0
1997-07-01,236713.0
1997-08-01,233496.0
1997-09-01,213547.0
1997-10-01,221219.0
1997-11-01,202422.0
1997-12-01,207322.0
1998-01-01,196870.0
1998-02-01,187167.0
1998-03-01,214222.0
1998-04-01,217921.0
1998-05-01,227899.0
1998-06-01,228733.0
1998-07-01,239944.0
1998-08-01,237143.0
1998-09-01,219461.0
1998-10-01,228523.0
1998-11-01,211178.0
1998-12-01,216303.0
1999-01-01,193581.0
1999-02-01,191485.0
1999-03-01,220763.0
1999-04-01,220996.0
1999-05-01,230786.0
1999-06-01,235970.0
