Date,Open,High,Low,Close,Volume
1992-12-31,3000,3000,3000,3000
1993-01-04,2957.28,2957.28,2957.28,2957.28
1993-01-05,2960.8,2960.8,2960.8,2960.8
1993-01-06,2955.21,2955.21,2955.21,2955.21
1993-01-07,2948.66,2948.66,2948.66,2948.66
1993-01-08,2945.98,2945.98,2945.98,2945.98
1993-01-11,2928.35,2928.35,2928.35,2928.35
1993-01-12,2950.93,2950.93,2950.93,2950.93
1993-01-13,2920.75,2920.75,2920.75,2920.75
1993-01-14,2917.56,2917.56,2917.56,2917.56
1993-01-15,2926.59,2926.59,2926.59,2926.59
1993-01-18,2926.44,2926.44,2926.44,2926.44
1993-01-19,2943.6,2943.6,2943.6,2943.6
1993-01-20,2980.39,2980.39,2980.39,2980.39
1993-01-21,3025.38,3025.38,3025.38,3025.38
1993-01-22,3045.6,3045.6,3045.6,3045.6
1993-01-25,3089.53,3089.53,3089.53,3089.53
1993-01-26,3086.71,3086.71,3086.71,3086.71
1993-01-27,3061.72,3061.72,3061.72,3061.72
1993-01-28,3047.48,3047.48,3047.48,3047.48
1993-01-29,3055.97,3055.97,3055.97,3055.97
1993-02-01,3055.7,3055.7,3055.7,3055.7
1993-02-02,3092.61,3092.61,3092.61,3092.61
1993-02-03,3103.53,3103.53,3103.53,3103.53
1993-02-04,3098.77,3098.77,3098.77,3098.77
1993-02-05,3120.85,3120.85,3120.85,3120.85
1993-02-08,3118.99,3118.99,3118.99,3118.99
1993-02-09,3173.15,3173.15,3173.15,3173.15
1993-02-10,3148.89,3148.89,3148.89,3148.89
1993-02-11,3179.26,3179.26,3179.26,3179.26
1993-02-12,3201.35,3201.35,3201.35,3201.35
1993-02-15,3202.43,3202.43,3202.43,3202.43
1993-02-16,3208.61,3208.61,3208.61,3208.61
1993-02-17,3211.61,3211.61,3211.61,3211.61
1993-02-18,3256.69,3256.69,3256.69,3256.69
1993-02-19,3295.7,3295.7,3295.7,3295.7
1993-02-22,3325.56,3325.56,3325.56,3325.56
1993-02-24,3361.9,3361.9,3361.9,3361.9
1993-02-25,3306.51,3306.51,3306.51,3306.51
1993-02-26,3314.25,3314.25,3314.25,3314.25
1993-03-01,3327.64,3327.64,3327.64,3327.64
1993-03-02,3297.53,3297.53,3297.53,3297.53
1993-03-03,3291.75,3291.75,3291.75,3291.75
1993-03-04,3247.74,3247.74,3247.74,3247.74
1993-03-05,3238.19,3238.19,3238.19,3238.19
1993-03-08,3217.09,3217.09,3217.09,3217.09
1993-03-09,3194.14,3194.14,3194.14,3194.14
1993-03-10,3161.41,3161.41,3161.41,3161.41
1993-03-11,3140.33,3140.33,3140.33,3140.33
1993-03-12,3150.74,3150.74,3150.74,3150.74
1993-03-15,3150.6,3150.6,3150.6,3150.6
1993-03-16,3162.97,3162.97,3162.97,3162.97
1993-03-17,3194.24,3194.24,3194.24,3194.24
1993-03-18,3198.03,3198.03,3198.03,3198.03
1993-03-19,3187.34,3187.34,3187.34,3187.34
1993-03-22,3191.64,3191.64,3191.64,3191.64
1993-03-23,3178.59,3178.59,3178.59,3178.59
1993-03-24,3164.7,3164.7,3164.7,3164.7
1993-03-25,3170.53,3170.53,3170.53,3170.53
1993-03-26,3176.1,3176.1,3176.1,3176.1
1993-03-29,3180.62,3180.62,3180.62,3180.62
1993-03-30,3188.37,3188.37,3188.37,3188.37
1993-03-31,3187.65,3187.65,3187.65,3187.65
1993-04-01,3174,3174,3174,3174
1993-04-02,3180.36,3180.36,3180.36,3180.36
1993-04-05,3170.34,3170.34,3170.34,3170.34
1993-04-06,3170.75,3170.75,3170.75,3170.75
1993-04-07,3166.6,3166.6,3166.6,3166.6
1993-04-08,3163.3,3163.3,3163.3,3163.3
1993-04-13,3158.06,3158.06,3158.06,3158.06
1993-04-14,3161.86,3161.86,3161.86,3161.86
1993-04-15,3161.18,3161.18,3161.18,3161.18
1993-04-16,3162.5,3162.5,3162.5,3162.5
1993-04-19,3161.04,3161.04,3161.04,3161.04
1993-04-20,3167.92,3167.92,3167.92,3167.92
1993-04-21,3180.19,3180.19,3180.19,3180.19
1993-04-22,3153.98,3153.98,3153.98,3153.98
