Date,High,Low,Open,Close,Volume,Adj Close
1993-01-29,43.96875,43.75,43.96875,43.9375,1003200.0,25.884183883666992
1993-02-01,44.25,43.96875,43.96875,44.25,480500.0,26.06827735900879
1993-02-02,44.375,44.125,44.21875,44.34375,201300.0,26.123498916625977
1993-02-03,44.84375,44.375,44.40625,44.8125,529400.0,26.399648666381836
1993-02-04,45.09375,44.46875,44.96875,45.0,531500.0,26.51011085510254
1993-02-05,45.0625,44.71875,44.96875,44.96875,492100.0,26.491710662841797
1993-02-08,45.125,44.90625,44.96875,44.96875,596100.0,26.491710662841797
1993-02-09,44.8125,44.5625,44.8125,44.65625,122100.0,26.30759048461914
1993-02-10,44.75,44.53125,44.65625,44.71875,379600.0,26.34442710876465
1993-02-11,45.125,44.78125,44.78125,44.9375,19500.0,26.473289489746094
1993-02-12,44.875,44.59375,44.875,44.59375,42500.0,26.27078628540039
1993-02-16,44.46875,43.40625,44.46875,43.46875,374800.0,25.6080322265625
1993-02-17,43.53125,43.28125,43.46875,43.4375,210900.0,25.58962631225586
1993-02-18,43.9375,42.8125,43.9375,43.40625,378100.0,25.571208953857422
1993-02-19,43.5625,43.34375,43.40625,43.5625,34900.0,25.663249969482422
1993-02-22,43.78125,43.5625,43.6875,43.71875,513600.0,25.755306243896484
1993-02-23,43.875,43.46875,43.84375,43.6875,373700.0,25.736900329589844
1993-02-24,44.25,43.71875,43.71875,44.25,26300.0,26.06827735900879
1993-02-25,44.375,44.125,44.21875,44.34375,44500.0,26.123498916625977
1993-02-26,44.4375,44.1875,44.4375,44.40625,66200.0,26.160335540771484
1993-03-01,44.5625,44.21875,44.5625,44.28125,66500.0,26.08668327331543
1993-03-02,44.9375,44.25,44.3125,44.9375,182400.0,26.473289489746094
1993-03-03,45.15625,44.9375,45.0,45.125,280100.0,26.58376121520996
1993-03-04,45.1875,44.875,45.1875,44.875,89500.0,26.436471939086914
1993-03-05,45.125,44.71875,44.9375,44.75,40000.0,26.362821578979492
1993-03-08,45.75,44.84375,44.84375,45.75,50800.0,26.951932907104492
1993-03-09,45.6875,45.5,45.65625,45.59375,169300.0,26.859912872314453
1993-03-10,45.6875,45.40625,45.59375,45.6875,194400.0,26.915115356445312
1993-03-11,45.84375,45.5,45.71875,45.5625,70900.0,26.84147834777832
1993-03-12,45.21875,44.8125,45.1875,45.09375,643600.0,26.565349578857422
1993-03-15,45.3125,45.0625,45.0625,45.3125,310800.0,26.6942138671875
1993-03-16,45.4375,45.3125,45.3125,45.3125,30800.0,26.6942138671875
1993-03-17,45.25,44.96875,45.25,45.03125,21800.0,26.52851676940918
1993-03-18,45.5,45.21875,45.21875,45.3125,59300.0,26.6942138671875
1993-03-19,45.28125,45.03125,45.28125,45.03125,66900.0,26.6538028717041
1993-03-22,44.875,44.5625,44.59375,44.78125,183400.0,26.50584602355957
1993-03-23,44.9375,44.8125,44.90625,44.875,55200.0,26.561325073242188
1993-03-24,45.0625,44.59375,44.8125,44.875,37200.0,26.561325073242188
1993-03-25,45.25,44.84375,44.90625,45.15625,110100.0,26.72780418395996
1993-03-26,45.15625,44.875,45.125,44.90625,101500.0,26.579814910888672
1993-03-29,45.3125,44.9375,44.9375,45.09375,87100.0,26.690807342529297
1993-03-30,45.21875,45.09375,45.15625,45.21875,56000.0,26.764802932739258
1993-03-31,45.46875,45.1875,45.34375,45.1875,111600.0,26.74630355834961
1993-04-01,45.25,44.9375,45.25,45.03125,129500.0,26.6538028717041
1993-04-02,44.65625,44.09375,44.65625,44.09375,59400.0,26.09891700744629
1993-04-05,44.4375,44.1875,44.4375,44.3125,172200.0,26.22838592529297
1993-04-06,44.40625,44.0625,44.40625,44.1875,129700.0,26.15441131591797
1993-04-07,44.34375,44.15625,44.25,44.34375,28000.0,26.24687385559082
1993-04-08,44.53125,44.09375,44.53125,44.28125,180800.0,26.209897994995117
1993-04-12,44.9375,44.65625,44.71875,44.90625,348500.0,26.579814910888672
1993-04-13,45.15625,44.84375,44.875,45.0,146100.0,26.635313034057617
1993-04-14,45.0625,44.90625,45.03125,44.9375,119600.0,26.59832191467285
1993-04-15,45.03125,44.75,44.90625,44.9375,148600.0,26.59832191467285
1993-04-16,45.03125,44.875,44.96875,44.9375,47900.0,26.59832191467285
1993-04-19,45.0625,44.71875,44.9375,44.75,157000.0,26.487342834472656
1993-04-20,44.75,44.25,44.6875,44.53125,279500.0,26.35787010192871
1993-04-21,44.625,44.375,44.625,44.5,67900.0,26.3393611907959
1993-04-22,44.6875,43.9375,44.3125,43.9375,97700.0,26.006425857543945
1993-04-23,43.96875,43.6875,43.84375,43.75,106000.0,25.895456314086914
1993-04-26,43.9375,43.28125,43.78125,43.40625,62600.0,25.691980361938477
1993-04-27,43.875,43.34375,43.34375,43.875,156800.0,25.969440460205078
1993-04-28,43.90625,43.71875,43.8125,43.78125,85900.0,25.9139347076416
1993-04-29,43.96875,43.625,43.875,43.96875,85000.0,26.02493667602539
1993-04-30,44.28125,44.03125,44.125,44.03125,88500.0,26.06191635131836
1993-05-03,44.3125,43.90625,44.09375,44.3125,80500.0,26.22838592529297
1993-05-04,44.625,44.34375,44.40625,44.46875,149100.0,26.320871353149414
1993-05-05,44.75,44.46875,44.46875,44.59375,109000.0,26.39485740661621
1993-05-06,44.5625,44.40625,44.53125,44.4375,54700.0,26.302385330200195
1993-05-07,44.46875,44.28125,44.46875,44.34375,68000.0,26.24687385559082
1993-05-10,44.6875,44.40625,44.40625,44.4375,113900.0,26.302385330200195
1993-05-11,44.625,44.3125,44.4375,44.625,42600.0,26.413349151611328
1993-05-12,44.59375,44.4375,44.4375,44.5625,31000.0,26.376388549804688
1993-05-13,44.375,44.0,44.375,44.03125,129100.0,26.06191635131836
1993-05-14,44.15625,43.96875,44.03125,44.0,63500.0,26.043426513671875
1993-05-17,44.15625,43.9375,44.125,44.15625,34000.0,26.135896682739258
1993-05-18,44.21875,43.96875,44.1875,44.125,105200.0,26.11741065979004
1993-05-19,45.03125,43.84375,44.125,45.03125,50200.0,26.6538028717041
1993-05-20,45.15625,44.9375,45.03125,45.15625,98200.0,26.72780418395996
1993-05-21,45.25,44.71875,45.1875,44.75,221400.0,26.487342834472656
1993-05-24,45.09375,44.84375,44.84375,44.9375,30500.0,26.59832191467285
1993-05-25,45.125,45.03125,45.125,45.03125,191800.0,26.6538028717041
1993-05-26,45.625,45.125,45.15625,45.59375,102400.0,26.98674964904785
1993-05-27,45.65625,45.375,45.65625,45.4375,53800.0,26.894283294677734
1993-05-28,45.40625,45.0,45.40625,45.21875,79100.0,26.764802932739258
1993-06-01,45.8125,45.3125,45.375,45.65625,28300.0,27.023746490478516
1993-06-02,45.75,45.34375,45.53125,45.59375,20300.0,26.98674964904785
1993-06-03,45.5,45.34375,45.5,45.4375,21600.0,26.894283294677734
1993-06-04,45.3125,45.09375,45.3125,45.28125,32000.0,26.801790237426758
1993-06-07,45.375,45.125,45.375,45.125,121400.0,26.709299087524414
1993-06-08,45.0,44.71875,45.0,44.71875,104500.0,26.468835830688477
1993-06-09,45.0625,44.8125,44.875,44.875,43300.0,26.561325073242188
1993-06-10,44.9375,44.75,44.84375,44.90625,17900.0,26.579814910888672
1993-06-11,45.15625,44.90625,45.0625,45.09375,647400.0,26.690807342529297
1993-06-14,45.1875,45.03125,45.15625,45.03125,64200.0,26.6538028717041
1993-06-15,45.125,44.9375,45.09375,44.9375,142400.0,26.59832191467285
1993-06-16,45.03125,44.8125,44.9375,45.03125,330900.0,26.6538028717041
1993-06-17,45.1875,45.03125,45.125,45.1875,37400.0,26.74630355834961
1993-06-18,44.84375,44.5,44.84375,44.5,58500.0,26.526042938232422
1993-06-21,44.625,44.53125,44.625,44.59375,29300.0,26.58193016052246
1993-06-22,44.65625,44.5625,44.65625,44.625,137500.0,26.600543975830078
1993-06-23,44.625,44.21875,44.625,44.21875,227600.0,26.358369827270508
1993-06-24,44.8125,44.34375,44.34375,44.8125,243700.0,26.712312698364258
1993-06-25,44.90625,44.75,44.78125,44.78125,44800.0,26.693693161010742
1993-06-28,45.28125,44.9375,45.0,45.28125,439900.0,26.991744995117188
1993-06-29,45.21875,45.0,45.21875,45.0625,207500.0,26.86134147644043
1993-06-30,45.21875,45.0,45.125,45.0625,437600.0,26.86134147644043
1993-07-01,45.125,44.875,45.125,44.9375,605700.0,26.786832809448242
1993-07-02,44.8125,44.53125,44.78125,44.6875,285400.0,26.637800216674805
1993-07-06,44.75,44.15625,44.625,44.21875,246400.0,26.358369827270508
1993-07-07,44.40625,44.1875,44.1875,44.34375,343700.0,26.432893753051758
1993-07-08,44.9375,44.3125,44.375,44.84375,248200.0,26.730955123901367
1993-07-09,44.96875,44.75,44.84375,44.96875,378200.0,26.805461883544922
1993-07-12,44.96875,44.84375,44.90625,44.9375,373700.0,26.786832809448242
1993-07-13,45.09375,44.65625,44.96875,44.90625,389600.0,26.768190383911133
1993-07-14,45.1875,44.90625,44.9375,45.0625,617300.0,26.86134147644043
1993-07-15,45.03125,44.78125,45.03125,44.875,443800.0,26.749568939208984
1993-07-16,44.9375,44.6875,44.90625,44.75,216400.0,26.675060272216797
1993-07-19,44.75,44.59375,44.75,44.71875,188200.0,26.656421661376953
1993-07-20,44.84375,44.46875,44.6875,44.84375,68500.0,26.730955123901367
1993-07-21,44.8125,44.65625,44.78125,44.8125,142700.0,26.712312698364258
1993-07-22,44.8125,44.5,44.75,44.5,632400.0,26.526042938232422
1993-07-23,44.71875,44.5625,44.59375,44.71875,286200.0,26.656421661376953
1993-07-26,45.0625,44.84375,44.84375,44.96875,121300.0,26.805461883544922
1993-07-27,45.03125,44.78125,45.0,44.9375,92800.0,26.786832809448242
1993-07-28,44.9375,44.78125,44.84375,44.84375,30800.0,26.730955123901367
1993-07-29,45.21875,44.875,44.9375,45.09375,331000.0,26.879974365234375
1993-07-30,45.09375,44.78125,45.09375,44.84375,75300.0,26.730955123901367
1993-08-02,45.125,44.90625,44.90625,44.96875,41300.0,26.805461883544922
1993-08-03,45.1875,44.84375,45.0625,45.0,81600.0,26.82408332824707
1993-08-04,45.09375,44.875,45.0,45.0,434000.0,26.82408332824707
1993-08-05,45.0,44.84375,45.0,44.90625,36800.0,26.768190383911133
1993-08-06,45.0625,44.90625,45.03125,44.96875,402300.0,26.805461883544922
1993-08-09,45.34375,45.0,45.09375,45.21875,828200.0,26.95449447631836
1993-08-10,45.21875,45.125,45.1875,45.1875,604900.0,26.935853958129883
1993-08-11,45.3125,45.15625,45.15625,45.1875,542200.0,26.935853958129883
1993-08-12,45.3125,44.90625,45.3125,45.0625,303700.0,26.86134147644043
